engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,seats,body_type,city,mileage_numeric,car_age,price_in_lakhs,brand,model
1196.0,Third Party insurance,Manual,150000.0,First Owner,CNG,5,Minivans,Agra,21.94,8,3.0,Maruti,Eeco
1196.0,Third Party insurance,Manual,150000.0,First Owner,CNG,5,Minivans,Agra,21.94,8,3.0,Maruti,Eeco
1196.0,Third Party insurance,Manual,150000.0,First Owner,CNG,5,Minivans,Agra,21.94,8,3.0,Maruti,Eeco
1968.0,Third Party insurance,Automatic,30000.0,Second Owner,Diesel,5,Sedan,Agra,16.55,11,12.0,Audi,A4
1197.0,Third Party insurance,Manual,10000.0,First Owner,Petrol,5,Hatchback,Agra,21.0,3,8.0,Hyundai,i20
1199.0,Third Party insurance,Manual,80000.0,Fifth Owner,Diesel,5,Hatchback,Agra,22.07,13,2.0,Volkswagen,Polo
1248.0,Third Party insurance,Manual,80000.0,Second Owner,Diesel,5,SUV,Agra,24.3,6,7.4,Maruti,Vitara
1086.0,Third Party insurance,Manual,30000.0,First Owner,Petrol,5,Hatchback,Agra,17.92,16,1.5,Hyundai,Santro
1248.0,Third Party insurance,Manual,30000.0,First Owner,Diesel,5,Sedan,Agra,26.59,9,5.2,Maruti,Swift
1197.0,Third Party insurance,Manual,80000.0,Third Owner,Petrol,5,Hatchback,Agra,20.36,15,1.7,Hyundai,i10
1197.0,Third Party insurance,Manual,30000.0,First Owner,Petrol,5,SUV,Agra,17.52,4,7.1,Hyundai,Venue
999.0,Third Party insurance,Manual,20000.0,First Owner,Petrol,5,Sedan,Agra,18.97,4,9.5,Skoda,Rapid
1399.0,Third Party insurance,Manual,70000.0,First Owner,Diesel,5,Hatchback,Agra,20.0,12,2.4,Ford,Figo
999.0,Third Party insurance,Manual,20000.0,First Owner,Petrol,5,Sedan,Agra,18.97,4,9.3,Skoda,Rapid
1956.0,Third Party insurance,Manual,20000.0,First Owner,Diesel,7,SUV,Agra,16.56,3,19.22,MG,Hector
814.0,Third Party insurance,Manual,50000.0,Second Owner,Petrol,5,Hatchback,Agra,21.1,12,1.5,Hyundai,EON
1197.0,Third Party insurance,Manual,30000.0,First Owner,Petrol,5,Hatchback,Agra,18.9,10,3.8,Hyundai,Grand
1199.0,Third Party insurance,Manual,30000.0,First Owner,Petrol,5,SUV,Agra,20.09,4,5.9,Tata,Punch
1498.0,Third Party insurance,Manual,150000.0,First Owner,Diesel,5,Hatchback,Agra,20.14,9,4.0,Volkswagen,Polo
1364.0,Third Party insurance,Manual,40000.0,First Owner,Diesel,5,Hatchback,Agra,23.59,12,3.0,Toyota,Etios
1461.0,Third Party insurance,Manual,120000.0,First Owner,Diesel,5,SUV,Agra,19.87,8,5.0,Renault,Duster
796.0,Third Party insurance,Manual,20000.0,First Owner,Petrol,5,Hatchback,Agra,22.74,10,2.1,Maruti,Alto
998.0,Third Party insurance,Manual,90000.0,Second Owner,Petrol,5,Hatchback,Agra,18.9,16,1.0,Maruti,Wagon
2179.0,Third Party insurance,Manual,50000.0,First Owner,Diesel,7,SUV,Agra,16.0,10,9.0,Mahindra,XUV500
1493.0,Third Party insurance,Manual,70000.0,First Owner,Diesel,5,SUV,Agra,20.8,5,13.49,Kia,Seltos
1248.0,Third Party insurance,Manual,50000.0,First Owner,Diesel,5,Sedan,Agra,28.4,6,6.5,Maruti,Swift
998.0,Third Party insurance,Manual,20000.0,First Owner,Petrol,5,Hatchback,Agra,21.79,6,4.75,Maruti,Wagon
1461.0,Third Party insurance,Manual,90000.0,Second Owner,Diesel,5,SUV,Agra,20.45,11,3.2,Nissan,Terrano
1248.0,Third Party insurance,Manual,50000.0,First Owner,Diesel,5,Sedan,Agra,28.4,6,6.5,Maruti,Swift
1197.0,Third Party insurance,Manual,60000.0,Second Owner,Petrol,5,Hatchback,Agra,18.9,10,3.7,Hyundai,Grand
1061.0,Third Party insurance,Manual,90000.0,Second Owner,Petrol,5,Hatchback,Agra,18.9,16,1.1,Maruti,Wagon
1499.0,Third Party insurance,Manual,60000.0,Second Owner,Diesel,5,Hatchback,Agra,24.4,5,5.5,Ford,Figo
